2004-01,6
2004-02,6
2004-03,6
2004-04,6
2004-05,6
2004-06,5
2004-07,6
2004-08,6
2004-09,6
2004-10,10
2004-11,6
2004-12,6
2005-01,6
2005-02,8
2005-03,9
2005-04,7
2005-05,6
2005-06,7
2005-07,8
2005-08,8
2005-09,9
2005-10,12
2005-11,9
2005-12,9
2006-01,10
2006-02,11
2006-03,10
2006-04,12
2006-05,11
2006-06,11
2006-07,11
2006-08,11
2006-09,14
2006-10,17
2006-11,12
2006-12,13
2007-01,13
2007-02,16
2007-03,15
2007-04,17
2007-05,18
2007-06,16
2007-07,18
2007-08,19
2007-09,19
2007-10,23
2007-11,19
2007-12,19
2008-01,19
2008-02,26
2008-03,24
2008-04,24
2008-05,26
2008-06,25
2008-07,25
2008-08,26
2008-09,27
2008-10,33
2008-11,29
2008-12,28
2009-01,30
2009-02,37
2009-03,35
2009-04,36
2009-05,36
2009-06,35
2009-07,37
2009-08,39
2009-09,37
2009-10,45
2009-11,39
2009-12,37
2010-01,38
2010-02,47
2010-03,46
2010-04,48
2010-05,49
2010-06,50
2010-07,58
2010-08,62
2010-09,60
2010-10,67
2010-11,59
2010-12,56
2011-01,60
2011-02,74
2011-03,70
2011-04,76
2011-05,70
2011-06,71
2011-07,71
2011-08,77
2011-09,75
2011-10,86
2011-11,82
2011-12,82
2012-01,81
2012-02,98
2012-03,92
2012-04,95
2012-05,94
2012-06,89
2012-07,89
2012-08,90
2012-09,94
2012-10,98
2012-11,87
2012-12,86
2013-01,82
2013-02,100
2013-03,100
2013-04,87
2013-05,92
2013-06,86
2013-07,86
2013-08,89
2013-09,88
2013-10,99
2013-11,90
2013-12,88
2014-01,86
2014-02,99
2014-03,93
2014-04,91
2014-05,85
2014-06,77
2014-07,83
2014-08,81
2014-09,84
2014-10,93
2014-11,86
2014-12,80
2015-01,75
2015-02,89
2015-03,83
2015-04,76
2015-05,77
2015-06,73
2015-07,72
2015-08,73
2015-09,71
2015-10,83
2015-11,73
2015-12,71
2016-01,66
2016-02,78
2016-03,74
2016-04,67
2016-05,68
2016-06,64
2016-07,63
2016-08,60
2016-09,63
2016-10,69
2016-11,60
2016-12,59
2017-01,58
2017-02,72
2017-03,64
2017-04,60
2017-05,59
2017-06,55
2017-07,52
2017-08,53
2017-09,56
2017-10,63
2017-11,57
2017-12,53
2018-01,50
2018-02,61
2018-03,59
2018-04,51
2018-05,55
2018-06,49
2018-07,47
2018-08,48
2018-09,51
2018-10,55
2018-11,49
2018-12,50
2019-01,52
2019-02,57
2019-03,51
2019-04,50
2019-05,49
2019-06,44
2019-07,42
2019-08,45
2019-09,45
2019-10,55
2019-11,47
2019-12,45
2020-01,43
2020-02,53
2020-03,45
2020-04,57
2020-05,60
2020-06,54
2020-07,49
2020-08,47
2020-09,46
2020-10,50
2020-11,44
2020-12,45
